HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
5,20,22,22,-1,1,1.4,1.0,1,1,2.2,1.5,-0.8,-0.5,1,2,-1,2.06,3.68,3.47,1.74,2.12
5,6,20,21,-1,1,1.2,1.2,1,2,2.2,1.2,-1.0,0.0,1,2,-1,1.81,3.45,4.94,2.23,1.67
5,1,10,24,3,-3,1.8,1.0,2,0,1.4,3.0,0.4,-2.0,4,1,1,2.55,3.38,2.83,1.9,1.95
6,2,7,7,-3,3,0.0,2.0,0,2,3.0,1.6,-3.0,0.4,0,3,-1,2.67,3.41,2.68,1.81,2.04
6,23,14,14,-1,1,1.0,1.8,0,1,3.0,2.0,-2.0,-0.2,2,3,-1,2.78,3.4,2.59,1.87,1.95
6,5,28,27,1,-1,1.33,1.2,1,1,2.33,1.2,-1.0,0.0,2,1,1,2.73,3.39,2.63,1.87,1.97
6,13,7,14,0,0,1.0,1.0,1,0,1.75,1.6,-0.75,-0.6,0,0,0,3.15,3.62,2.23,1.69,2.21
6,7,21,21,0,0,1.0,1.67,1,2,1.6,0.67,-0.6,1.0,1,1,0,2.76,3.37,2.6,1.89,1.95
6,20,28,19,0,0,1.0,0.8,1,1,1.0,1.2,0.0,-0.4,0,0,0,2.46,3.41,2.94,1.84,2.01
6,19,11,11,4,-4,1.4,1.4,2,1,0.4,2.8,1.0,-1.4,4,0,1,2.14,3.46,3.51,1.98,1.86
6,4,18,14,0,0,1.0,0.6,1,1,0.2,1.2,0.8,-0.6,0,0,0,5.18,4.13,1.63,1.66,2.25
6,24,7,8,-2,2,1.0,1.4,1,2,0.6,1.6,0.4,-0.2,0,2,-1,2.64,3.16,2.83,2.23,1.66
6,1,17,20,-1,1,0.8,1.0,1,1,0.6,2.25,0.2,-1.25,0,1,-1,3.2,3.24,2.35,2.06,1.78
6,16,4,4,1,-1,1.4,1.2,2,1,1.0,1.6,0.4,-0.4,3,2,1,2.91,3.51,2.41,1.69,2.19
6,9,13,6,4,-4,1.4,1.2,2,0,1.0,3.2,0.4,-2.0,4,0,1,1.79,3.67,4.67,2.01,1.83
6,10,11,11,0,0,1.8,1.8,2,3,1.4,0.8,0.4,1.0,2,2,0,7.36,4.71,1.44,1.71,2.18
6,12,10,6,0,0,2.2,0.6,2,0,1.4,1.2,0.8,-0.6,2,2,0,2.55,3.2,2.96,2.19,1.7
7,9,7,7,1,-1,2.0,1.0,1,0,1.0,2.8,1.0,-1.8,2,1,1,1.83,3.73,4.38,1.87,1.97
7,18,21,21,0,0,1.5,1.2,1,1,1.0,1.0,0.5,0.2,1,1,0,2.42,3.48,2.92,1.72,2.16
7,13,7,6,2,-2,2.0,1.0,2,0,1.0,2.0,1.0,-1.0,3,1,1,2.86,3.51,2.45,1.68,2.22
7,1,28,20,-2,2,1.75,1.4,2,2,1.5,2.0,0.25,-0.6,1,3,-1,2.44,3.5,2.89,1.73,2.14
7,20,16,16,1,-1,1.8,0.8,3,1,1.4,1.0,0.4,-0.2,2,1,1,2.03,3.73,3.52,1.67,2.23
7,19,19,28,-3,3,1.6,2.0,2,1,2.0,3.0,-0.4,-1.0,1,4,-1,1.65,4.09,5.23,1.68,2.21
7,2,12,12,2,-2,2.0,2.0,3,2,2.0,2.0,0.0,0.0,3,1,1,2.33,3.65,2.92,1.62,2.33
7,0,3,8,0,0,1.6,2.2,2,2,2.0,1.0,-0.4,1.2,1,1,0,5.4,4.24,1.61,1.78,2.06
7,15,14,15,0,0,1.4,0.6,2,0,1.4,2.0,0.0,-1.4,0,0,0,1.42,4.96,7.21,1.54,2.46
7,23,7,7,0,0,1.4,2.0,1,1,1.6,2.2,-0.2,-0.2,2,2,0,2.35,3.58,2.91,1.67,2.21
