HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
,,7,7,-2,2,0.0,2.0,0,3,2.0,0.8,-2.0,1.2,0,2,-1,7.84,5.14,1.35,1.46,2.6
,,13,20,0,0,1.0,0.8,0,0,2.0,2.8,-1.0,-2.0,2,2,0,2.08,3.62,3.25,1.7,2.12
,,21,21,2,-2,1.33,0.8,1,1,1.33,1.6,0.0,-0.8,2,0,1,1.65,3.86,5.07,1.87,1.91
,,21,21,-1,1,1.25,1.0,1,2,1.5,1.6,-0.25,-0.6,1,2,-1,2.05,3.51,3.47,1.85,1.94
,,22,21,0,0,1.2,1.8,1,2,1.4,1.2,-0.2,0.6,1,1,0,2.31,3.45,2.95,1.8,1.99
,,7,8,0,0,1.4,0.8,1,2,1.2,1.4,0.2,-0.6,1,1,0,1.93,3.55,3.8,1.85,1.93
,,6,13,-1,1,1.2,1.0,1,1,1.2,2.4,0.0,-1.4,1,2,-1,1.84,3.54,4.27,1.97,1.82
,,17,3,0,0,1.4,1.6,0,2,1.8,1.4,-0.4,0.2,3,3,0,2.69,3.22,2.65,2.05,1.75
,,18,14,2,-2,1.8,1.0,1,1,1.6,2.4,0.2,-1.4,3,1,1,1.5,4.27,6.26,1.8,2.0
,,15,9,1,-1,1.8,1.4,2,1,1.4,1.8,0.4,-0.4,1,0,1,1.86,3.69,3.9,1.72,2.06
,,7,7,0,0,2.2,2.0,2,3,1.8,1.0,0.4,1.0,3,3,0,5.38,4.32,1.54,1.58,2.31
,,6,3,2,-2,2.6,1.0,3,2,1.6,1.4,1.0,-0.4,3,1,1,1.63,3.96,5.04,1.78,2.0
,,21,17,2,-2,2.4,1.2,4,1,1.0,1.6,1.4,-0.4,2,0,1,1.82,3.7,4.11,1.75,2.05
